A	Output	bin a	bin out	octal a	octal out
255	330	0b11111111	0b101001010	0o377	0o512
256	325	0b100000000	0b101000101	0o400	0o505
257	225	0b100000001	0b11100001	0o401	0o341
258	325	0b100000010	0b101000101	0o402	0o505
259	425	0b100000011	0b110101001	0o403	0o651
260	525	0b100000100	0b1000001101	0o404	0o1015
261	325	0b100000101	0b101000101	0o405	0o505
262	525	0b100000110	0b1000001101	0o406	0o1015
263	525	0b100000111	0b1000001101	0o407	0o1015
264	305	0b100001000	0b100110001	0o410	0o461
265	205	0b100001001	0b11001101	0o411	0o315
266	305	0b100001010	0b100110001	0o412	0o461
267	405	0b100001011	0b110010101	0o413	0o625
268	105	0b100001100	0b1101001	0o414	0o151
269	305	0b100001101	0b100110001	0o415	0o461
270	405	0b100001110	0b110010101	0o416	0o625
271	705	0b100001111	0b1011000001	0o417	0o1301
272	315	0b100010000	0b100111011	0o420	0o473
273	315	0b100010001	0b100111011	0o421	0o473
274	315	0b100010010	0b100111011	0o422	0o473
275	415	0b100010011	0b110011111	0o423	0o637
276	515	0b100010100	0b1000000011	0o424	0o1003
277	315	0b100010101	0b100111011	0o425	0o473
278	715	0b100010110	0b1011001011	0o426	0o1313
279	115	0b100010111	0b1110011	0o427	0o163
280	305	0b100011000	0b100110001	0o430	0o461
281	305	0b100011001	0b100110001	0o431	0o461
282	305	0b100011010	0b100110001	0o432	0o461
283	405	0b100011011	0b110010101	0o433	0o625
284	105	0b100011100	0b1101001	0o434	0o151
285	305	0b100011101	0b100110001	0o435	0o461
286	605	0b100011110	0b1001011101	0o436	0o1135
287	305	0b100011111	0b100110001	0o437	0o461
288	255	0b100100000	0b11111111	0o440	0o377
289	55	0b100100001	0b110111	0o441	0o67
290	355	0b100100010	0b101100011	0o442	0o543
291	455	0b100100011	0b111000111	0o443	0o707
292	555	0b100100100	0b1000101011	0o444	0o1053
293	355	0b100100101	0b101100011	0o445	0o543
294	155	0b100100110	0b10011011	0o446	0o233
295	555	0b100100111	0b1000101011	0o447	0o1053
296	235	0b100101000	0b11101011	0o450	0o353
297	35	0b100101001	0b100011	0o451	0o43
298	335	0b100101010	0b101001111	0o452	0o517
299	435	0b100101011	0b110110011	0o453	0o663
300	135	0b100101100	0b10000111	0o454	0o207
301	335	0b100101101	0b101001111	0o455	0o517
302	35	0b100101110	0b100011	0o456	0o43
303	735	0b100101111	0b1011011111	0o457	0o1337
304	215	0b100110000	0b11010111	0o460	0o327
305	115	0b100110001	0b1110011	0o461	0o163
306	315	0b100110010	0b100111011	0o462	0o473
307	415	0b100110011	0b110011111	0o463	0o637
308	515	0b100110100	0b1000000011	0o464	0o1003
309	315	0b100110101	0b100111011	0o465	0o473
310	315	0b100110110	0b100111011	0o466	0o473
311	115	0b100110111	0b1110011	0o467	0o163
312	255	0b100111000	0b11111111	0o470	0o377
313	155	0b100111001	0b10011011	0o471	0o233
314	355	0b100111010	0b101100011	0o472	0o543
315	455	0b100111011	0b111000111	0o473	0o707
316	155	0b100111100	0b10011011	0o474	0o233
317	355	0b100111101	0b101100011	0o475	0o543
318	255	0b100111110	0b11111111	0o476	0o377
319	355	0b100111111	0b101100011	0o477	0o543
320	123	0b101000000	0b1111011	0o500	0o173
321	623	0b101000001	0b1001101111	0o501	0o1157
322	323	0b101000010	0b101000011	0o502	0o503
323	523	0b101000011	0b1000001011	0o503	0o1013
324	523	0b101000100	0b1000001011	0o504	0o1013
325	323	0b101000101	0b101000011	0o505	0o503
326	523	0b101000110	0b1000001011	0o506	0o1013
327	523	0b101000111	0b1000001011	0o507	0o1013
328	103	0b101001000	0b1100111	0o510	0o147
329	603	0b101001001	0b1001011011	0o511	0o1133
330	303	0b101001010	0b100101111	0o512	0o457
331	503	0b101001011	0b111110111	0o513	0o767
332	103	0b101001100	0b1100111	0o514	0o147
333	303	0b101001101	0b100101111	0o515	0o457
334	403	0b101001110	0b110010011	0o516	0o623
335	703	0b101001111	0b1010111111	0o517	0o1277
336	113	0b101010000	0b1110001	0o520	0o161
337	713	0b101010001	0b1011001001	0o521	0o1311
338	313	0b101010010	0b100111001	0o522	0o471
339	513	0b101010011	0b1000000001	0o523	0o1001
340	513	0b101010100	0b1000000001	0o524	0o1001
341	313	0b101010101	0b100111001	0o525	0o471
342	713	0b101010110	0b1011001001	0o526	0o1311
343	113	0b101010111	0b1110001	0o527	0o161
344	103	0b101011000	0b1100111	0o530	0o147
345	703	0b101011001	0b1010111111	0o531	0o1277
346	303	0b101011010	0b100101111	0o532	0o457
347	503	0b101011011	0b111110111	0o533	0o767
348	103	0b101011100	0b1100111	0o534	0o147
349	303	0b101011101	0b100101111	0o535	0o457
350	603	0b101011110	0b1001011011	0o536	0o1133
351	303	0b101011111	0b100101111	0o537	0o457
352	13	0b101100000	0b1101	0o540	0o15
353	413	0b101100001	0b110011101	0o541	0o635
354	313	0b101100010	0b100111001	0o542	0o471
355	513	0b101100011	0b1000000001	0o543	0o1001
356	513	0b101100100	0b1000000001	0o544	0o1001
357	313	0b101100101	0b100111001	0o545	0o471
358	113	0b101100110	0b1110001	0o546	0o161
359	513	0b101100111	0b1000000001	0o547	0o1001
360	33	0b101101000	0b100001	0o550	0o41
361	433	0b101101001	0b110110001	0o551	0o661
362	333	0b101101010	0b101001101	0o552	0o515
363	533	0b101101011	0b1000010101	0o553	0o1025
364	133	0b101101100	0b10000101	0o554	0o205
365	333	0b101101101	0b101001101	0o555	0o515
366	33	0b101101110	0b100001	0o556	0o41
367	733	0b101101111	0b1011011101	0o557	0o1335
368	3	0b101110000	0b11	0o560	0o3
369	503	0b101110001	0b111110111	0o561	0o767
370	303	0b101110010	0b100101111	0o562	0o457
371	503	0b101110011	0b111110111	0o563	0o767
372	503	0b101110100	0b111110111	0o564	0o767
373	303	0b101110101	0b100101111	0o565	0o457
374	303	0b101110110	0b100101111	0o566	0o457
375	103	0b101110111	0b1100111	0o567	0o147
376	73	0b101111000	0b1001001	0o570	0o111
377	573	0b101111001	0b1000111101	0o571	0o1075
378	373	0b101111010	0b101110101	0o572	0o565
379	573	0b101111011	0b1000111101	0o573	0o1075
380	173	0b101111100	0b10101101	0o574	0o255
381	373	0b101111101	0b101110101	0o575	0o565
382	273	0b101111110	0b100010001	0o576	0o421
383	373	0b101111111	0b101110101	0o577	0o565
384	725	0b110000000	0b1011010101	0o600	0o1325
385	225	0b110000001	0b11100001	0o601	0o341
386	225	0b110000010	0b11100001	0o602	0o341
387	625	0b110000011	0b1001110001	0o603	0o1161
388	525	0b110000100	0b1000001101	0o604	0o1015
389	325	0b110000101	0b101000101	0o605	0o505
390	525	0b110000110	0b1000001101	0o606	0o1015
391	525	0b110000111	0b1000001101	0o607	0o1015
392	715	0b110001000	0b1011001011	0o610	0o1313
393	215	0b110001001	0b11010111	0o611	0o327
394	215	0b110001010	0b11010111	0o612	0o327
395	615	0b110001011	0b1001100111	0o613	0o1147
396	115	0b110001100	0b1110011	0o614	0o163
397	315	0b110001101	0b100111011	0o615	0o473
398	415	0b110001110	0b110011111	0o616	0o637
399	715	0b110001111	0b1011001011	0o617	0o1313
400	715	0b110010000	0b1011001011	0o620	0o1313
401	315	0b110010001	0b100111011	0o621	0o473
402	215	0b110010010	0b11010111	0o622	0o327
403	615	0b110010011	0b1001100111	0o623	0o1147
404	515	0b110010100	0b1000000011	0o624	0o1003
405	315	0b110010101	0b100111011	0o625	0o473
406	715	0b110010110	0b1011001011	0o626	0o1313
407	115	0b110010111	0b1110011	0o627	0o163
408	705	0b110011000	0b1011000001	0o630	0o1301
409	305	0b110011001	0b100110001	0o631	0o461
410	205	0b110011010	0b11001101	0o632	0o315
411	605	0b110011011	0b1001011101	0o633	0o1135
412	105	0b110011100	0b1101001	0o634	0o151
413	305	0b110011101	0b100110001	0o635	0o461
414	605	0b110011110	0b1001011101	0o636	0o1135
415	305	0b110011111	0b100110001	0o637	0o461
416	655	0b110100000	0b1010001111	0o640	0o1217
417	55	0b110100001	0b110111	0o641	0o67
418	255	0b110100010	0b11111111	0o642	0o377
419	655	0b110100011	0b1010001111	0o643	0o1217
420	555	0b110100100	0b1000101011	0o644	0o1053
421	355	0b110100101	0b101100011	0o645	0o543
422	155	0b110100110	0b10011011	0o646	0o233
423	555	0b110100111	0b1000101011	0o647	0o1053
424	635	0b110101000	0b1001111011	0o650	0o1173
425	35	0b110101001	0b100011	0o651	0o43
426	235	0b110101010	0b11101011	0o652	0o353
427	635	0b110101011	0b1001111011	0o653	0o1173
428	135	0b110101100	0b10000111	0o654	0o207
429	335	0b110101101	0b101001111	0o655	0o517
430	35	0b110101110	0b100011	0o656	0o43
431	735	0b110101111	0b1011011111	0o657	0o1337
432	635	0b110110000	0b1001111011	0o660	0o1173
433	135	0b110110001	0b10000111	0o661	0o207
434	235	0b110110010	0b11101011	0o662	0o353
435	635	0b110110011	0b1001111011	0o663	0o1173
436	535	0b110110100	0b1000010111	0o664	0o1027
437	335	0b110110101	0b101001111	0o665	0o517
438	335	0b110110110	0b101001111	0o666	0o517
439	135	0b110110111	0b10000111	0o667	0o207
440	615	0b110111000	0b1001100111	0o670	0o1147
441	115	0b110111001	0b1110011	0o671	0o163
442	215	0b110111010	0b11010111	0o672	0o327
443	615	0b110111011	0b1001100111	0o673	0o1147
444	115	0b110111100	0b1110011	0o674	0o163
445	315	0b110111101	0b100111011	0o675	0o473
446	215	0b110111110	0b11010111	0o676	0o327
447	315	0b110111111	0b100111011	0o677	0o473
448	525	0b111000000	0b1000001101	0o700	0o1015
449	625	0b111000001	0b1001110001	0o701	0o1161
450	225	0b111000010	0b11100001	0o702	0o341
451	725	0b111000011	0b1011010101	0o703	0o1325
452	525	0b111000100	0b1000001101	0o704	0o1015
453	325	0b111000101	0b101000101	0o705	0o505
454	525	0b111000110	0b1000001101	0o706	0o1015
455	525	0b111000111	0b1000001101	0o707	0o1015
456	515	0b111001000	0b1000000011	0o710	0o1003
457	615	0b111001001	0b1001100111	0o711	0o1147
458	215	0b111001010	0b11010111	0o712	0o327
459	715	0b111001011	0b1011001011	0o713	0o1313
460	115	0b111001100	0b1110011	0o714	0o163
461	315	0b111001101	0b100111011	0o715	0o473
462	415	0b111001110	0b110011111	0o716	0o637
463	715	0b111001111	0b1011001011	0o717	0o1313
464	515	0b111010000	0b1000000011	0o720	0o1003
465	715	0b111010001	0b1011001011	0o721	0o1313
466	215	0b111010010	0b11010111	0o722	0o327
467	715	0b111010011	0b1011001011	0o723	0o1313
468	515	0b111010100	0b1000000011	0o724	0o1003
469	315	0b111010101	0b100111011	0o725	0o473
470	715	0b111010110	0b1011001011	0o726	0o1313
471	115	0b111010111	0b1110011	0o727	0o163
472	505	0b111011000	0b111111001	0o730	0o771
473	705	0b111011001	0b1011000001	0o731	0o1301
474	205	0b111011010	0b11001101	0o732	0o315
475	705	0b111011011	0b1011000001	0o733	0o1301
476	105	0b111011100	0b1101001	0o734	0o151
477	305	0b111011101	0b100110001	0o735	0o461
478	605	0b111011110	0b1001011101	0o736	0o1135
479	305	0b111011111	0b100110001	0o737	0o461
480	415	0b111100000	0b110011111	0o740	0o637
481	415	0b111100001	0b110011111	0o741	0o637
482	215	0b111100010	0b11010111	0o742	0o327
483	715	0b111100011	0b1011001011	0o743	0o1313
484	515	0b111100100	0b1000000011	0o744	0o1003
485	315	0b111100101	0b100111011	0o745	0o473
486	115	0b111100110	0b1110011	0o746	0o163
487	515	0b111100111	0b1000000011	0o747	0o1003
488	435	0b111101000	0b110110011	0o750	0o663
489	435	0b111101001	0b110110011	0o751	0o663
490	235	0b111101010	0b11101011	0o752	0o353
491	735	0b111101011	0b1011011111	0o753	0o1337
492	135	0b111101100	0b10000111	0o754	0o207
493	335	0b111101101	0b101001111	0o755	0o517
494	35	0b111101110	0b100011	0o756	0o43
495	735	0b111101111	0b1011011111	0o757	0o1337
496	425	0b111110000	0b110101001	0o760	0o651
497	525	0b111110001	0b1000001101	0o761	0o1015
498	225	0b111110010	0b11100001	0o762	0o341
499	725	0b111110011	0b1011010101	0o763	0o1325
500	525	0b111110100	0b1000001101	0o764	0o1015
501	325	0b111110101	0b101000101	0o765	0o505
502	325	0b111110110	0b101000101	0o766	0o505
503	125	0b111110111	0b1111101	0o767	0o175
504	435	0b111111000	0b110110011	0o770	0o663
505	535	0b111111001	0b1000010111	0o771	0o1027
506	235	0b111111010	0b11101011	0o772	0o353
507	735	0b111111011	0b1011011111	0o773	0o1337
508	135	0b111111100	0b10000111	0o774	0o207
509	335	0b111111101	0b101001111	0o775	0o517
510	235	0b111111110	0b11101011	0o776	0o353
511	335	0b111111111	0b101001111	0o777	0o517
512	3132	0b1000000000	0b110000111100	0o1000	0o6074
513	2132	0b1000000001	0b100001010100	0o1001	0o4124
514	5132	0b1000000010	0b1010000001100	0o1002	0o12014
515	132	0b1000000011	0b10000100	0o1003	0o204
516	5132	0b1000000100	0b1010000001100	0o1004	0o12014
517	3132	0b1000000101	0b110000111100	0o1005	0o6074
518	5132	0b1000000110	0b1010000001100	0o1006	0o12014
519	5132	0b1000000111	0b1010000001100	0o1007	0o12014
520	3632	0b1000001000	0b111000110000	0o1010	0o7060
521	2632	0b1000001001	0b101001001000	0o1011	0o5110
522	5632	0b1000001010	0b1011000000000	0o1012	0o13000
523	632	0b1000001011	0b1001111000	0o1013	0o1170
524	1632	0b1000001100	0b11001100000	0o1014	0o3140
525	3632	0b1000001101	0b111000110000	0o1015	0o7060
526	4632	0b1000001110	0b1001000011000	0o1016	0o11030
527	7632	0b1000001111	0b1110111010000	0o1017	0o16720
528	3132	0b1000010000	0b110000111100	0o1020	0o6074
529	3132	0b1000010001	0b110000111100	0o1021	0o6074
530	5132	0b1000010010	0b1010000001100	0o1022	0o12014
531	132	0b1000010011	0b10000100	0o1023	0o204
532	5132	0b1000010100	0b1010000001100	0o1024	0o12014
533	3132	0b1000010101	0b110000111100	0o1025	0o6074
534	7132	0b1000010110	0b1101111011100	0o1026	0o15734
535	1132	0b1000010111	0b10001101100	0o1027	0o2154
536	3132	0b1000011000	0b110000111100	0o1030	0o6074
537	3132	0b1000011001	0b110000111100	0o1031	0o6074
538	5132	0b1000011010	0b1010000001100	0o1032	0o12014
539	132	0b1000011011	0b10000100	0o1033	0o204
540	1132	0b1000011100	0b10001101100	0o1034	0o2154
541	3132	0b1000011101	0b110000111100	0o1035	0o6074
542	6132	0b1000011110	0b1011111110100	0o1036	0o13764
543	3132	0b1000011111	0b110000111100	0o1037	0o6074
544	2532	0b1000100000	0b100111100100	0o1040	0o4744
545	532	0b1000100001	0b1000010100	0o1041	0o1024
546	5532	0b1000100010	0b1010110011100	0o1042	0o12634
547	532	0b1000100011	0b1000010100	0o1043	0o1024
548	5532	0b1000100100	0b1010110011100	0o1044	0o12634
549	3532	0b1000100101	0b110111001100	0o1045	0o6714
550	1532	0b1000100110	0b10111111100	0o1046	0o2774
551	5532	0b1000100111	0b1010110011100	0o1047	0o12634
552	2332	0b1000101000	0b100100011100	0o1050	0o4434
553	332	0b1000101001	0b101001100	0o1051	0o514
554	5332	0b1000101010	0b1010011010100	0o1052	0o12324
555	332	0b1000101011	0b101001100	0o1053	0o514
556	1332	0b1000101100	0b10100110100	0o1054	0o2464
557	3332	0b1000101101	0b110100000100	0o1055	0o6404
558	332	0b1000101110	0b101001100	0o1056	0o514
559	7332	0b1000101111	0b1110010100100	0o1057	0o16244
560	2532	0b1000110000	0b100111100100	0o1060	0o4744
561	1532	0b1000110001	0b10111111100	0o1061	0o2774
562	5532	0b1000110010	0b1010110011100	0o1062	0o12634
563	532	0b1000110011	0b1000010100	0o1063	0o1024
564	5532	0b1000110100	0b1010110011100	0o1064	0o12634
565	3532	0b1000110101	0b110111001100	0o1065	0o6714
